t,f,ferr,mask
2936.841945,1.000340599,6.90356E-05,FALSE
2936.862377,1.000121787,6.9061E-05,FALSE
2936.882809,1.000212126,6.90938E-05,FALSE
2936.90324,1.000175538,6.91345E-05,FALSE
2936.923672,0.99994165,6.91578E-05,FALSE
2936.944103,0.999818364,6.91741E-05,FALSE
2936.964535,0.999904791,6.92154E-05,FALSE
2936.984967,0.999908439,6.92418E-05,FALSE
2937.005398,0.999989944,6.92652E-05,FALSE
2937.02583,1.005987721,6.94782E-05,TRUE
2937.046261,1.004388857,6.94798E-05,TRUE
2937.066693,1.000230958,6.94135E-05,FALSE
2937.087124,0.999880082,6.94432E-05,FALSE
2937.107556,1.000026109,6.9502E-05,FALSE
2937.127988,0.999668923,6.95349E-05,FALSE
2937.148419,0.999317014,6.95847E-05,FALSE
2937.168851,0.999323687,6.9638E-05,FALSE
2937.189282,0.999294226,6.96859E-05,FALSE
2937.209714,0.999204424,6.9745E-05,FALSE
2937.230146,0.999502577,6.98304E-05,FALSE
2937.250577,1.000042102,6.99033E-05,FALSE
2937.271009,0.999876415,6.99855E-05,FALSE
2937.29144,0.999980273,7.00634E-05,FALSE
2937.311872,1.000034027,7.01421E-05,FALSE
2937.332303,1.000059431,7.02761E-05,FALSE
2937.352735,1.000167769,7.0386E-05,FALSE
2937.373167,1.000279315,7.05549E-05,FALSE
2937.393598,1.000050122,7.07072E-05,FALSE
2937.41403,1.000312713,7.0886E-05,FALSE
2937.434462,0.937550003,6.88366E-05,TRUE
2937.454893,1.000047802,6.95526E-05,FALSE
2937.475325,1.000021993,6.96002E-05,FALSE
2937.495756,1.000195093,6.96666E-05,FALSE
2937.516188,1.000124898,6.97123E-05,FALSE
2937.536619,1.000240201,6.97769E-05,FALSE
2937.557051,1.000053038,6.98566E-05,TRUE
2937.577483,0.999945101,6.99621E-05,FALSE
2937.597914,0.999949884,7.00651E-05,FALSE
2937.618346,1.000196874,7.01496E-05,FALSE
2937.638777,1.000126902,7.02632E-05,FALSE
2937.659209,1.000158744,7.04107E-05,FALSE
2937.679641,1.00017446,6.94158E-05,TRUE
2937.700072,1.000196096,6.92955E-05,FALSE
2937.720504,0.999891931,6.93401E-05,FALSE
2937.740935,1.000053453,6.93754E-05,FALSE
2937.761367,1.000418485,6.94373E-05,FALSE
2937.781798,0.999961355,6.94585E-05,FALSE
2937.80223,1.000093346,6.95233E-05,FALSE
2937.822662,0.999962252,6.95846E-05,FALSE
2937.843093,1.000179777,6.96285E-05,FALSE
2937.863525,1.000206964,6.96973E-05,FALSE
2937.883956,1.000230972,6.97739E-05,FALSE
2937.904388,1.000102459,6.98643E-05,FALSE
2937.92482,0.999813324,6.99532E-05,FALSE
2937.945251,0.999577975,7.00603E-05,FALSE
2937.965683,0.999669445,7.01978E-05,FALSE
2937.986114,0.999764846,7.03477E-05,FALSE
2938.006546,1.000268165,7.05418E-05,FALSE
2938.026977,1.000368981,7.07511E-05,FALSE
2938.047409,1.000179837,7.0922E-05,FALSE
2938.067841,1.000166128,7.11475E-05,FALSE
2938.088272,1.000212232,7.14391E-05,FALSE
2938.108704,1.000358001,7.16977E-05,FALSE
2938.129135,1.000500051,7.19707E-05,TRUE
2938.149567,1.000885434,7.2391E-05,TRUE
2938.169999,1.000024722,6.98693E-05,TRUE
2938.19043,1.000075165,6.95699E-05,FALSE
2938.210862,0.999967724,6.96538E-05,FALSE
2938.231294,1.000013011,6.97239E-05,FALSE
2938.251725,1.000241911,6.97968E-05,FALSE
2938.272157,1.000083214,6.98826E-05,FALSE
2938.292588,1.000137527,6.99684E-05,FALSE
2938.31302,0.999976199,7.00606E-05,FALSE
2938.333451,0.999878539,7.01653E-05,FALSE
2938.353883,0.999936584,7.02803E-05,FALSE
2938.374314,1.000303065,7.04433E-05,FALSE
2938.394746,1.000277229,7.06281E-05,FALSE
2938.415178,1.000191227,6.95013E-05,TRUE
2938.435609,0.999813602,6.93965E-05,FALSE
2938.456041,1.000100077,6.94542E-05,FALSE
2938.476472,1.000073286,6.94976E-05,FALSE
2938.496904,0.999910459,6.95575E-05,FALSE
2938.517336,0.999845981,6.96162E-05,FALSE
2938.537767,0.999865213,6.96816E-05,FALSE
2938.558199,0.999951549,6.97451E-05,FALSE
2938.57863,1.000080128,6.98227E-05,FALSE
2938.599062,0.999901203,6.98794E-05,FALSE
2938.619493,0.999886524,6.99727E-05,FALSE
2938.639925,0.9999354,7.00728E-05,FALSE
2938.660357,1.007878085,6.95456E-05,TRUE
2938.680788,1.000083431,6.93632E-05,FALSE
2938.70122,1.000044403,6.9408E-05,FALSE
2938.721651,1.000074654,6.94394E-05,FALSE
2938.742083,1.000431335,6.94803E-05,FALSE
2938.762515,1.000364921,6.95151E-05,FALSE
2938.782946,1.000138844,6.95472E-05,FALSE
2938.803378,0.99995148,6.95835E-05,FALSE
2938.823809,1.000003759,6.96197E-05,FALSE
2938.844241,1.000204406,6.96616E-05,FALSE
2938.864672,1.000144192,6.97016E-05,FALSE
2938.885104,1.000116906,6.97271E-05,FALSE
2938.905536,1.000274186,6.97737E-05,FALSE
2938.925967,1.000099904,6.9828E-05,TRUE
